epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,253.727,1.78565,2.23488,1.88932,0.31379,0.25833,0.25311,0.09244,2.43119,2.86688,2.62623,0.000415596,0.000415596,0.000415596
2,489.073,1.91697,2.13765,1.98379,0.44566,0.50842,0.44636,0.1643,2.12056,3.25301,2.31349,0.000815783,0.000815783,0.000815783
3,722.593,1.86729,2.04734,1.91959,0.54886,0.46217,0.49963,0.20086,2.0244,2.53755,2.21611,0.00119947,0.00119947,0.00119947
4,955.54,1.77448,1.85074,1.84558,0.60541,0.48228,0.54442,0.20486,2.01983,1.9015,2.22013,0.00117575,0.00117575,0.00117575
5,1188.21,1.7382,1.72597,1.79693,0.67062,0.58076,0.62543,0.27742,1.9007,1.72679,2.14053,0.001151,0.001151,0.001151
6,1420.78,1.69035,1.65714,1.74948,0.72115,0.67344,0.72144,0.33744,1.71755,1.33733,1.91281,0.00112625,0.00112625,0.00112625
7,1653.49,1.63367,1.54432,1.71952,0.70926,0.59375,0.66335,0.30923,1.77138,1.52766,1.99985,0.0011015,0.0011015,0.0011015
8,1885.92,1.6056,1.48418,1.69778,0.72744,0.5876,0.67893,0.32239,1.7141,1.54,1.96576,0.00107675,0.00107675,0.00107675
9,2118.46,1.56363,1.45283,1.66846,0.71278,0.69074,0.74834,0.37128,1.61741,1.23494,1.84956,0.001052,0.001052,0.001052
10,2350.86,1.54904,1.40534,1.6618,0.74783,0.65956,0.75296,0.36748,1.63008,1.19002,1.85466,0.00102725,0.00102725,0.00102725
11,2583.21,1.52079,1.35451,1.63263,0.74363,0.66008,0.71481,0.35235,1.62245,1.31421,1.84187,0.0010025,0.0010025,0.0010025
12,2815.7,1.51407,1.34943,1.63002,0.71992,0.73393,0.77707,0.39558,1.56768,1.16574,1.81319,0.00097775,0.00097775,0.00097775
13,3048.46,1.4953,1.32311,1.62062,0.77963,0.72632,0.78703,0.38731,1.59284,1.12374,1.81768,0.000953,0.000953,0.000953
14,3280.7,1.47487,1.29284,1.59974,0.73526,0.76047,0.79639,0.40844,1.5266,1.08656,1.77603,0.00092825,0.00092825,0.00092825
15,3513.17,1.45531,1.26697,1.58093,0.72925,0.76521,0.78815,0.40345,1.53176,1.10729,1.77159,0.0009035,0.0009035,0.0009035
16,3745.58,1.44666,1.24044,1.57807,0.81687,0.75556,0.8236,0.42462,1.50105,1.06851,1.7514,0.00087875,0.00087875,0.00087875
17,3977.94,1.43061,1.22275,1.5608,0.77013,0.77949,0.81048,0.41878,1.50487,1.04994,1.74556,0.000854,0.000854,0.000854
18,4210.16,1.43741,1.22975,1.57323,0.83304,0.74222,0.81724,0.42521,1.48649,1.08496,1.73119,0.00082925,0.00082925,0.00082925
19,4442.78,1.41685,1.20975,1.56558,0.80204,0.7574,0.81952,0.42548,1.49691,1.04962,1.71833,0.0008045,0.0008045,0.0008045
20,4675.29,1.41125,1.18547,1.5551,0.75082,0.80683,0.8237,0.42527,1.50899,1.03161,1.74447,0.00077975,0.00077975,0.00077975
21,4907.74,1.38564,1.17555,1.5425,0.75969,0.80858,0.82811,0.4331,1.47125,1.03109,1.71639,0.000755,0.000755,0.000755
22,5140.5,1.38417,1.17418,1.53693,0.78153,0.81702,0.82183,0.44387,1.45449,0.98508,1.68979,0.00073025,0.00073025,0.00073025
23,5373.03,1.38086,1.1529,1.52456,0.76631,0.79159,0.81292,0.439,1.44409,0.98974,1.68812,0.0007055,0.0007055,0.0007055
24,5605.24,1.3756,1.14442,1.52343,0.80786,0.78195,0.83625,0.4385,1.44193,0.99869,1.69212,0.00068075,0.00068075,0.00068075
25,5837.61,1.35312,1.12201,1.50914,0.82873,0.77168,0.83242,0.45213,1.4028,0.98446,1.65303,0.000656,0.000656,0.000656
26,6070.03,1.35115,1.10613,1.50347,0.82827,0.76137,0.83931,0.45652,1.4344,0.96781,1.67162,0.00063125,0.00063125,0.00063125
27,6302.43,1.33467,1.10167,1.49147,0.79285,0.79428,0.83559,0.44987,1.41137,0.99314,1.6592,0.0006065,0.0006065,0.0006065
28,6535.08,1.33275,1.09629,1.49616,0.78111,0.83893,0.85653,0.46917,1.39419,0.94763,1.64581,0.00058175,0.00058175,0.00058175
29,6767.53,1.3193,1.08058,1.48188,0.80115,0.79098,0.84462,0.46858,1.36884,0.93472,1.62607,0.000557,0.000557,0.000557
30,6999.88,1.32614,1.08385,1.48515,0.78849,0.82586,0.84786,0.46432,1.37864,0.92617,1.63184,0.00053225,0.00053225,0.00053225
31,7231.89,1.28987,1.07256,1.4678,0.80046,0.83294,0.85888,0.47008,1.37849,0.92656,1.63514,0.0005075,0.0005075,0.0005075
32,7464.2,1.29103,1.0407,1.45627,0.84217,0.80004,0.86527,0.47369,1.34396,0.93325,1.60409,0.00048275,0.00048275,0.00048275
33,7696.64,1.29405,1.05504,1.46327,0.80515,0.82853,0.86076,0.47078,1.37374,0.92473,1.60815,0.000458,0.000458,0.000458
34,7928.85,1.26769,1.03264,1.4379,0.81573,0.82447,0.8648,0.47316,1.36684,0.91235,1.61732,0.00043325,0.00043325,0.00043325
35,8161.27,1.27228,1.02099,1.45091,0.78526,0.84235,0.86554,0.48423,1.33945,0.91662,1.59577,0.0004085,0.0004085,0.0004085
36,8393.98,1.26146,1.01551,1.44591,0.81168,0.81996,0.86216,0.48222,1.35109,0.90478,1.60317,0.00038375,0.00038375,0.00038375
37,8626.55,1.26412,1.01404,1.44185,0.81222,0.83344,0.86521,0.49193,1.32853,0.90273,1.58973,0.000359,0.000359,0.000359
